Sample_ID,Total_reads,Mitochondrial_reads,Fraction of mitochondrial reads,Total duplicates after removing mitochondrial reads,Fraction of duplicates,Reads after all filtering,Fraction of reads after all filtering,Total_peaks,Reads_in_peaks,FRiP
S17_Cas9_and_ORF_Control_rep2,"49,562,684","2,134,654",0.04,"23,291,980",0.49,"23,694,228",0.48,"66,485","8,219,845",0.35
S18_Cas9_and_ORF_Control_rep3,"47,038,818","2,610,110",0.06,"21,890,138",0.49,"22,093,372",0.47,"60,572","6,889,255",0.31
S19_FOSL1_KO_OE_rep1,"45,249,486","1,467,868",0.03,"21,481,646",0.49,"21,934,744",0.48,"66,906","7,949,340",0.36
S20_FOSL1_KO_OE_rep2,"43,594,376","709,554",0.02,"20,704,626",0.48,"21,839,562",0.5,"67,257","8,005,549",0.37
S21_FOSL1_KO_OE_rep3,"46,656,442","1,062,230",0.02,"22,396,308",0.49,"22,844,970",0.49,"71,286","9,037,305",0.4
S22_ORF_Control_rep1,"44,934,126","1,226,734",0.03,"21,673,348",0.5,"21,535,106",0.48,"59,979","5,518,608",0.26
S23_ORF_Control_rep2,"43,516,870","1,277,762",0.03,"21,331,320",0.51,"20,519,496",0.47,"58,954","5,286,829",0.26
S24_ORF_Control_rep3,"44,899,932","1,599,790",0.04,"21,352,990",0.49,"21,549,806",0.48,"63,861","6,005,121",0.28
S25_FOS_OE_rep1,"34,964,682","687,488",0.02,"15,772,238",0.46,"18,134,650",0.52,"48,036","3,583,364",0.2
S26_FOS_OE_rep2,"47,404,598","1,344,548",0.03,"22,434,690",0.49,"23,159,582",0.49,"56,583","5,642,362",0.24
S27_FOS_OE_rep3,"49,472,754","1,440,354",0.03,"23,787,426",0.5,"23,785,916",0.48,"60,609","6,241,088",0.26
S28_FOSL2_OE_rep1,"43,102,758","1,566,272",0.04,"19,107,654",0.46,"22,023,582",0.51,"59,621","5,468,997",0.25
S29_FOSL2_OE_rep2,"48,851,482","1,882,834",0.04,"22,550,656",0.48,"23,941,232",0.49,"57,047","5,746,812",0.24
S30_FOSL2_OE_rep3,"47,850,038","1,564,138",0.03,"21,943,150",0.47,"23,876,228",0.5,"54,385","5,307,088",0.22
S31_JUN_OE_rep1,"47,652,516","1,322,812",0.03,"22,526,206",0.49,"23,321,630",0.49,"58,882","5,397,419",0.23
S32_JUN_OE_rep2,"42,184,768","1,009,610",0.02,"19,965,988",0.48,"20,796,702",0.49,"60,556","5,009,642",0.24
S33_JUN_OE_rep3,"41,296,444","903,382",0.02,"19,315,402",0.48,"20,635,604",0.5,"46,349","3,010,044",0.15
S34_NTC_KD_Control_rep1,"41,424,878","1,252,454",0.03,"18,756,276",0.47,"20,960,346",0.51,"70,025","7,103,129",0.34
S35_NTC_KD_Control_rep2,"44,466,646","1,815,688",0.04,"20,848,080",0.49,"21,309,126",0.48,"73,154","7,879,433",0.37
S36_NTC_KD_Control_rep3,"49,040,760","1,602,650",0.03,"21,419,812",0.45,"25,476,480",0.52,"72,138","8,634,791",0.34
S37_JUN_KD_rep1,"48,255,490","1,674,190",0.03,"21,822,102",0.47,"24,250,058",0.5,"64,201","7,649,299",0.32
S38_JUN_KD_rep2,"44,367,202","2,295,052",0.05,"20,373,224",0.48,"21,132,152",0.48,"65,554","6,963,995",0.33
S39_JUN_KD_rep3,"45,935,528","2,166,462",0.05,"19,729,096",0.45,"21,899,176",0.48,"62,106","7,512,712",0.34
S40_JUNB_KD_rep1,"44,133,918","966,838",0.02,"20,575,860",0.48,"22,117,072",0.5,"61,463","6,713,380",0.3
S41_JUNB_KD_rep2,"44,580,282","1,205,626",0.03,"21,094,674",0.49,"21,802,676",0.49,"63,744","7,507,671",0.34
S42_JUNB_KD_rep3,"47,247,252","1,135,344",0.02,"22,463,458",0.49,"23,127,406",0.49,"68,897","8,569,514",0.37
S43_JUND_KD_rep1,"46,231,250","2,686,770",0.06,"20,616,118",0.47,"22,442,634",0.49,"60,914","6,540,577",0.29
S44_JUND_KD_rep2,"48,137,500","1,901,196",0.04,"22,138,016",0.48,"23,569,536",0.49,"64,676","7,762,565",0.33
S45_JUND_KD_rep3,"46,478,564","1,551,584",0.03,"22,072,100",0.49,"22,364,360",0.48,"65,785","7,806,005",0.35
S46_Cas9_and_NTC_KD_Control_rep1,"45,830,088","2,665,514",0.06,"21,571,824",0.5,"21,207,956",0.46,"71,666","7,595,708",0.36
S47_Cas9_and_NTC_KD_Control_rep2,"45,800,882","2,468,148",0.05,"21,744,946",0.5,"21,185,992",0.46,"66,948","6,676,940",0.32
S48_Cas9_and_NTC_KD_Control_rep3,"39,420,732","1,646,512",0.04,"18,226,618",0.48,"19,218,116",0.49,"65,558","6,541,546",0.34
S49_FOSL2_KO_and_JUN_KD_rep1,"44,436,910","1,457,824",0.03,"20,188,468",0.47,"22,335,454",0.5,"64,959","7,110,773",0.32
S50_FOSL2_KO_and_JUN_KD_rep2,"42,178,588","1,076,024",0.03,"19,127,036",0.47,"21,574,434",0.51,"67,593","6,367,557",0.3
S51_FOSL2_KO_and_JUN_KD_rep3,"44,970,334","1,095,770",0.02,"21,879,466",0.5,"21,576,952",0.48,"67,656","6,253,812",0.29
S52_FOS_KO_and_JUNB_KD_rep1,"64,565,920","1,244,008",0.02,"25,046,970",0.4,"37,645,256",0.58,"84,289","12,641,989",0.34
S53_FOS_KO_and_JUNB_KD_rep2,"42,866,422","887,260",0.02,"20,247,748",0.48,"21,176,954",0.49,"65,722","6,138,518",0.29
S54_FOS_KO_and_JUNB_KD_rep3,"44,538,864","964,118",0.02,"21,242,856",0.49,"21,953,276",0.49,"73,286","7,450,463",0.34
S55_FOS_KO_and_JUND_KD_rep1,"41,425,528","1,327,938",0.03,"18,833,152",0.47,"20,891,386",0.5,"65,077","6,535,838",0.31
S56_FOS_KO_and_JUND_KD_rep2,"47,362,706","1,248,166",0.03,"22,780,026",0.49,"22,939,544",0.48,"72,312","7,420,160",0.32
S57_FOS_KO_and_JUND_KD_rep3,"43,333,428","1,788,914",0.04,"20,186,858",0.49,"20,999,366",0.48,"65,750","6,764,513",0.32
S58_JUN_KO_and_JUND_KD_rep1,"45,073,282","2,755,946",0.06,"20,922,588",0.49,"20,992,224",0.47,"59,962","6,368,858",0.3
S59_JUN_KO_and_JUND_KD_rep2,"44,503,318","2,420,928",0.05,"20,604,216",0.49,"21,069,266",0.47,"60,129","5,991,091",0.28
S60_JUN_KO_and_JUND_KD_rep3,"40,955,208","1,352,562",0.03,"18,988,082",0.48,"20,177,756",0.49,"43,704","3,051,269",0.15
